"EXCEPTING FAN SIZE AND EXTRUSION LENGTH, THE ITEMS ON THIS SPREADSHEET ARE PRELIMINARY, AND MAY CHANGE BASED ON DESIGN REVISIONS",,,,
,,,,
Item,Recomended,Alternate,Alternate Two,Alternative Three
Inner Panel/Insulation,Reflectix Double Reflective Insulation Roll,,,
Exhaust Fan,Sunon PMB2475PNB1-AY.(2).GN,gdstime GDT7530S24V2P-0.14A,,
Outer Panels,Coroplast,,,
Feet,C-30-RK-3215,,,Aliexpress v1/v2 Version
,,,,
Vertical Extrusions: CHOOSE PRE-DRILLED AND TAPPED OR DIY,,,,
,,,,
Vertical Extrusions 250 Pre-Drilled and Tapped,HFSB5-4040-430-TPW-LCP-RCP,,,smt-montagetechnik.de
Vertical Extrusions 300 Pre-Drilled and Tapped,HFSB5-4040-480-TPW-LCP-RCP,,,smt-montagetechnik.de
Vertical Extrusions 350 Pre-Drilled and Tapped,HFSB5-4040-530-TPW-LCP-RCP,,,smt-montagetechnik.de
,,,,
OR,,,,
,,,,
Vertical Extrusions 250 DIY,HFSB5-4040-430,,,smt-montagetechnik.de
Vertical Extrusions 300 DiY,HFSB5-4040-480,,,smt-montagetechnik.de
Vertical Extrusions 350 DIY,HFSB5-4040-530,,,smt-montagetechnik.de
,,,,
OR,,,,
NOTE: These require the stock 2.4 vertical extrusions ,,,,
Pre tapped,,,,
Vertical Rounded Extrusions 250 - Pre Tapped,HFSR5-404020-430-TPW,,,
Vertical Rounded Extrusions 300 - Pre Tapped,HFSR5-404020-480-TPW,,,
Vertical Rounded Extrusions 350 - Pre Tapped,HFSR5-404020-530-TPW,,,
,,,,
OR,,,,
,,,,
Vertical Rounded Extrusions 250 DiY,HFSR5-404020-430,,,
Vertical Rounded Extrusions 300 DiY,HFSR5-404020-480,,,
Vertical Rounded Extrusions 350 DiY,HFSR5-404020-530,,,
,,,,
To go with the rounded extrusions ,,,,
screws to attach the rounded extrusion or budget extrusions to the stock v2 verticals 4 per corner,,,,
M5x6,Qty 16 ,,,
M5 tnuts,Qty 16 ,,,
,,,,
,,,,
,,,,
2020 Extrusion Frame Door,,,,
Misumi Part #,Qty,,,
,,,,
Doom 250,,,,
HFSB5-2020-430-AH10-BH420,2,,,
HFSB5-2020-328,2,,,
,,,,
Doom 300,,,,
HFSB5-2020-480-AH10-BH470,2,,,
HFSB5-2020-378,2,,,
,,,,
Doom 350,,,,
HFSB5-2020-530-AH10-BH520,2,,,
HFSB5-2020-428,2,,,
